,Make_Honda,Make_Maruti Suzuki,Make_Hyundai,Make_Toyota,Make_Mercedes-Benz,Make_BMW,Make_Skoda,Make_Nissan,Make_Renault,Make_Tata,Make_Volkswagen,Make_Ford,Make_Audi,Make_Mahindra,Make_MG,Make_Jeep,Make_Porsche,Make_Kia,Make_Land Rover,Make_Volvo,Make_Maserati,Make_Jaguar,Make_Isuzu,Make_Fiat,Make_MINI,Make_Ferrari,Make_Mitsubishi,Make_Datsun,Make_Lamborghini,Make_Chevrolet,Make_Ssangyong,Make_Rolls-Royce,Make_Lexus,Model,Price,Year,Kilometer,Fuel Type_Petrol,Fuel Type_Diesel,Fuel Type_CNG,Fuel Type_LPG,Fuel Type_Electric,Fuel Type_CNG + CNG,Fuel Type_Hybrid,Fuel Type_Petrol + CNG,Fuel Type_Petrol + LPG,Transmission_Manual,Transmission_Automatic,Location,Color,Owner_First,Owner_Second,Owner_Third,Owner_Fourth,Owner_UnRegistered Car,Owner_4 or More,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amaze 1.2 VX i-VTEC,0.01304683700037195,0.8529411764705882,0.043575,1,0,0,0,0,0,0,0,0,1,0,Pune,Grey,1,0,0,0,0,0,Corporate,1198 cc,FWD,0.36072874493927126,0.2751677852348993,0.40963855421686746,0.5,0.2222222222222222
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swift DZire VDI,0.011473205344625332,0.7647058823529411,0.0375,0,1,0,0,0,0,0,0,0,1,0,Ludhiana,White,0,1,0,0,0,0,Individual,1248 cc,FWD,0.362753036437247,0.2953020134228188,0.46987951807228917,0.5,0.3
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,i10 Magna 1.2 Kappa2,0.004892563875139481,0.6764705882352942,0.0335,1,0,0,0,0,0,0,0,0,1,0,Lucknow,Maroon,1,0,0,0,0,0,Individual,1197 cc,FWD,0.19676113360323888,0.1610738255033557,0.463855421686747,0.5,0.2222222222222222
3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glanza G,0.021458613487453863,0.9117647058823529,0.01875,1,0,0,0,0,0,0,0,0,1,0,Mangalore,Red,1,0,0,0,0,0,Individual,1197 cc,FWD,0.362753036437247,0.3624161073825503,0.41566265060240964,0.5,0.24444444444444444
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Innova 2.4 VX 7 STR [2016-2020],0.05439043231953306,0.8823529411764706,0.0345,0,1,0,0,0,0,0,0,0,1,0,Mumbai,Grey,1,0,0,0,0,0,Individual,2393 cc,RWD,0.6623481781376518,0.47651006711409394,0.7590361445783133,0.8333333333333334,0.4444444444444444
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ciaz ZXi,0.017910789390861492,0.8529411764705882,0.0366575,1,0,0,0,0,0,0,0,0,1,0,Pune,Grey,1,0,0,0,0,0,Individual,1373 cc,FWD,0.5631578947368421,0.3422818791946309,0.3855421686746988,0.5,0.3111111111111111
6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLA 200 Petrol Sport,0.05293121799090155,0.7941176470588235,0.0235,1,0,0,0,0,0,0,0,0,0,1,Mumbai,White,0,1,0,0,0,0,Individual,1991 cc,FWD,0.6198380566801619,0.4053691275167785,0.3216867469879518,0.5,0.4111111111111111
7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,X1 xDrive20d M Sport,0.07441847157449,0.8529411764705882,0.0375,0,1,0,0,0,0,0,0,0,0,1,Coimbatore,White,0,1,0,0,0,0,Individual,1995 cc,AWD,0.5425101214574899,0.46442953020134226,0.5385542168674698,0.5,0.4
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Octavia 1.8 TSI Style Plus AT [2017],0.03836800091556751,0.8529411764705882,0.028,1,0,0,0,0,0,0,0,0,0,1,Mumbai,White,1,0,0,0,0,0,Individual,1798 cc,FWD,0.6360323886639676,0.45503355704697984,0.3746987951807229,0.5,0.3888888888888889
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terrano XL (D),0.015049640925867643,0.7941176470588235,0.0425,0,1,0,0,0,0,0,0,0,1,0,Mumbai,White,1,0,0,0,0,0,Individual,1461 cc,FWD,0.4987854251012146,0.4657718120805369,0.6096385542168675,0.5,0.3888888888888889
10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elite i20 Sportz 1.2,0.01550742468026666,0.8529411764705882,0.0101405,1,0,0,0,0,0,0,0,0,1,0,Mumbai,Red,1,0,0,0,0,0,Individual,1197 cc,FWD,0.35870445344129553,0.3476510067114094,0.40963855421686746,0.5,0.3333333333333333
11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kwid 1.0 RXT [2016-2019],0.011759291579640067,0.8823529411764706,0.0112705,1,0,0,0,0,0,0,0,0,1,0,Bangalore,Grey,1,0,0,0,0,0,Individual,999 cc,FWD,0.23481781376518218,0.1395973154362416,0.37710843373493974,0.5,0.14444444444444443
